,us_fed_assets,us_tga,us_rrp,ea_assets,jp_assets,gb_base,ca_assets,us_netliq,ca_rate,gb_rate,jp_rate,us_rate,ea_rate
1980-12-31,,,,,,,17313.0,,,,,,
1981-01-31,,,,,,,16303.0,,,,,,
1981-02-28,,,,,,,16324.0,,,,,,
1981-03-31,,,,,,,16877.0,,,,,,
1981-04-30,,,,,,,16868.0,,,,,,
1981-05-31,,,,,,,17082.0,,,,,,
1981-06-30,,,,,,,17421.0,,,,,,
1981-07-31,,,,,,,17690.0,,,,,,
1981-08-31,,,,,,,17722.0,,,,,,
1981-09-30,,,,,,,17381.0,,,,,,
1981-10-31,,,,,,,17086.0,,,,,,
1981-11-30,,,,,,,17625.0,,,,,,
1981-12-31,,,,,,,18394.0,,,,,,
1982-01-31,,,,,,,17499.0,,,,,,
1982-02-28,,,,,,,17168.0,,,,,,
1982-03-31,,,,,,,18533.0,,,,,,
1982-04-30,,,,,,,17322.0,,,,,,
1982-05-31,,,,,,,17284.0,,,,,,
1982-06-30,,,,,,,18336.0,,,,,,
1982-07-31,,,,,,,17313.0,,,,,,
1982-08-31,,,,,,,17467.0,,,,,,
1982-09-30,,,,,,,17030.0,,,,,,
1982-10-31,,,,,,,16869.0,,,,,,
1982-11-30,,,,,,,17113.0,,,,,,
1982-12-31,,,,,,,18412.0,,,,,,
1983-01-31,,,,,,,17167.0,,,,,,
1983-02-28,,,,,,,16982.0,,,,,,
1983-03-31,,,,,,,17336.0,,,,,,
1983-04-30,,,,,,,17925.0,,,,,,
1983-05-31,,,,,,,17661.0,,,,,,
1983-06-30,,,,,,,17991.0,,,,,,
1983-07-31,,,,,,,18142.0,,,,,,
1983-08-31,,,,,,,18149.0,,,,,,
1983-09-30,,,,,,,17626.0,,,,,,
1983-10-31,,,,,,,17481.0,,,,,,
1983-11-30,,,,,,,18105.0,,,,,,
1983-12-31,,,,,,,18478.0,,,,,,
1984-01-31,,,,,,,18199.0,,,,,,
1984-02-29,,,,,,,18052.0,,,,,,
1984-03-31,,,,,,,18874.0,,,,,,
1984-04-30,,,,,,,18087.0,,,,,,
1984-05-31,,,,,,,18430.0,,,,,,
1984-06-30,,,,,,,18421.0,,,,,,
1984-07-31,,,,,,,19267.0,,,,,,
1984-08-31,,,,,,,17783.0,,,,,,
1984-09-30,,,,,,,17628.0,,,,,,
1984-10-31,,,,,,,18608.0,,,,,,
1984-11-30,,,,,,,18447.0,,,,,,
1984-12-31,,,,,,,19237.0,,,,,,
1985-01-31,,,,,,,18601.0,,,,,,
1985-02-28,,,,,,,18692.0,,,,,,
1985-03-31,,,,,,,18749.0,,,,,,
1985-04-30,,,,,,,18395.0,,,,,,
1985-05-31,,,,,,,19272.0,,,,,,
1985-06-30,,,,,,,19037.0,,,,,,
1985-07-31,,,,,,,19495.0,,,,,,
1985-08-31,,,,,,,18907.0,,,,,,
1985-09-30,,,,,,,19059.0,,,,,,
1985-10-31,,,,,,,20085.0,,,,,,
1985-11-30,,,,,,,20758.0,,,,,,
1985-12-31,,,,,,,21588.0,,,,,,
1986-01-31,,,,,,,20596.0,,,,,,
1986-02-28,,,,,,,19221.0,,,,,,
1986-03-31,,,,,,,20087.0,,,,,,
1986-04-30,,,,,,,20333.0,,,,,,
1986-05-31,,,,,,,20479.0,,,,,,
1986-06-30,,,,,,,19913.0,,,,,,
1986-07-31,,,,,,,19872.0,,,,,,
1986-08-31,,,,,,,19329.0,,,,,,
1986-09-30,,,,,,,19708.0,,,,,,
1986-10-31,,,,,,,20087.0,,,,,,
1986-11-30,,,,,,,19774.0,,,,,,
1986-12-31,,,,,,,20945.0,,,,,,
1987-01-31,,,,,,,19189.0,,,,,,
1987-02-28,,,,,,,19312.0,,,,,,
1987-03-31,,,,,,,19294.0,,,,,,
1987-04-30,,,,,,,20299.0,,,,,,
1987-05-31,,,,,,,20382.0,,,,,,
1987-06-30,,,,,,,20775.0,,,,,,
1987-07-31,,,,,,,21468.0,,,,,,
1987-08-31,,,,,,,21091.0,,,,,,
1987-09-30,,,,,,,20905.0,,,,,,
1987-10-31,,,,,,,21003.0,,,,,,
1987-11-30,,,,,,,21466.0,,,,,,
1987-12-31,,,,,,,23478.0,,,,,,
1988-01-31,,,,,,,19970.0,,,,,,
1988-02-29,,,,,,,20646.0,,,,,,
1988-03-31,,,,,,,21271.0,,,,,,
1988-04-30,,,,,,,20569.0,,,,,,
1988-05-31,,,,,,,21299.0,,,,,,
1988-06-30,,,,,,,22357.0,,,,,,
1988-07-31,,,,,,,22291.0,,,,,,
1988-08-31,,,,,,,22457.0,,,,,,
1988-09-30,,,,,,,22144.0,,,,,,
1988-10-31,,,,,,,22089.0,,,,,,
1988-11-30,,,,,,,21867.0,,,,,,
1988-12-31,,,,,,,24523.0,,,,,,
1989-01-31,,,,,,,21413.0,,,,,,
1989-02-28,,,,,,,21504.0,,,,,,
1989-03-31,,,,,,,21844.0,,,,,,
1989-04-30,,,,,,,22220.0,,,,,,
1989-05-31,,,,,,,23389.0,,,,,,
1989-06-30,,,,,,,23428.0,,,,,,
1989-07-31,,,,,,,23207.0,,,,,,
1989-08-31,,,,,,,22546.0,,,,,,
1989-09-30,,,,,,,22322.0,,,,,,
1989-10-31,,,,,,,22493.0,,,,,,
1989-11-30,,,,,,,22663.0,,,,,,
1989-12-31,,,,,,,24520.0,,,,,,
1990-01-31,,,,,,,23060.0,,,,,,
1990-02-28,,,,,,,22891.0,,,,,,
1990-03-31,,,,,,,22889.0,,,,,,
1990-04-30,,,,,,,23006.0,,,,,,
1990-05-31,,,,,,,23131.0,,,,,,
1990-06-30,,,,,,,23722.0,,,,,,
1990-07-31,,,,,,,23749.0,,,,,,
1990-08-31,,,,,,,23366.0,,,,,,
1990-09-30,,,,,,,23197.0,,,,,,
1990-10-31,,,,,,,23453.0,,,,,,
1990-11-30,,,,,,,23686.0,,,,,,
1990-12-31,,,,,,,25211.0,,,,,,
1991-01-31,,,,,,,22611.0,,,,,,
1991-02-28,,,,,,,22592.0,,,,,,
1991-03-31,,,,,,,23682.0,,,,,,
1991-04-30,,,,,,,23304.0,,,,,,
1991-05-31,,,,,,,23977.0,,,,,,
1991-06-30,,,,,,,24725.0,,,,,,
1991-07-31,,,,,,,24817.0,,,,,,
1991-08-31,,,,,,,24323.0,,,,,,
1991-09-30,,,,,,,24837.0,,,,,,
1991-10-31,,,,,,,24621.0,,,,,,
1991-11-30,,,,,,,24760.0,,,,,,
1991-12-31,,,,,,,26454.0,,,,,,
1992-01-31,,,,,,,23566.0,,,,,,
1992-02-29,,,,,,,23492.0,,,,,,
1992-03-31,,,,,,,24262.0,,,,,,
1992-04-30,,,,,,,24697.0,,,,,,
1992-05-31,,,,,,,25167.0,,,,,,
1992-06-30,,,,,,,25672.0,,,,,,
1992-07-31,,,,,,,26057.0,,,,,,
1992-08-31,,,,,,,25305.0,,,,,,
1992-09-30,,,,,,,26810.0,,,,,,
1992-10-31,,,,,,,25723.0,,,,,,
1992-11-30,,,,,,,26336.0,,,,,,
1992-12-31,,,,,,,28212.0,,,,,,
1993-01-31,,,,,,,24910.0,,,,,,
1993-02-28,,,,,,,25364.0,,,,,,
1993-03-31,,,,,,,26006.0,,,,,,
1993-04-30,,,,,,,26480.0,,,,,,
1993-05-31,,,,,,,26764.0,,,,,,
1993-06-30,,,,,,,27422.0,,,,,,
1993-07-31,,,,,,,27583.0,,,,,,
1993-08-31,,,,,,,27250.0,,,,,,
1993-09-30,,,,,,,27181.0,,,,,,
1993-10-31,,,,,,,27494.0,,,,,,
1993-11-30,,,,,,,27127.0,,,,,,
1993-12-31,,,,,,,29726.0,,,,,,
1994-01-31,,,,,,,26282.0,,,,,,
1994-02-28,,,,,,,26850.0,,,,,,
1994-03-31,,,,,,,28226.0,,,,,,
1994-04-30,,,,,,,27481.0,,,,,,
1994-05-31,,,,,,,28778.0,,,,,,
1994-06-30,,,,,,,27940.0,,,,,,
1994-07-31,,,,,,,28011.0,,,,,,
1994-08-31,,,,,,,28334.0,,,,,,
1994-09-30,,,,,,,27555.0,,,,,,
1994-10-31,,,,,,,27450.0,,,,,,
1994-11-30,,,,,,,27649.0,,,,,,
1994-12-31,,,,,,,30180.0,,,,,,
1995-01-31,,,,,,,27141.0,,,,,,
1995-02-28,,,,,,,27442.0,,,,,,
1995-03-31,,,,,,,27581.0,,,,,,
1995-04-30,,,,,,,27879.0,,,,,,
1995-05-31,,,,,,,28461.0,,,,,,
1995-06-30,,,,,,,28875.0,,,,,,
1995-07-31,,,,,,,28906.0,,,,,,
1995-08-31,,,,,,,29042.0,,,,,,
1995-09-30,,,,,,,28362.0,,,,,,
1995-10-31,,,,,,,28003.0,,,,,,
1995-11-30,,,,,,,28251.0,,,,,,
1995-12-31,,,,,,,30046.0,,,,,,
1996-01-31,,,,,,,27538.0,,,,,,
1996-02-29,,,,,,,27535.0,,,,,,
1996-03-31,,,,,,,27273.0,,,,,,
1996-04-30,,,,,,,27050.0,,,,,,
1996-05-31,,,,,,,27936.0,,,,,,
1996-06-30,,,,,,,28468.0,,,,,,
1996-07-31,,,,,,,28867.0,,,,,,
1996-08-31,,,,,,,28681.0,,,,,,
1996-09-30,,,,,,,28047.0,,,,,,
1996-10-31,,,,,,,28226.0,,,,,,
1996-11-30,,,,,,,28030.0,,,,,,
1996-12-31,,,,,,,30442.0,,,,,,
1997-01-31,,,,,,,27624.0,,,,,,
1997-02-28,,,,,,,27611.0,,,,,,
1997-03-31,,,,,,,28792.0,,,,,,
1997-04-30,,,,,,,29280.0,,,,,,
1997-05-31,,,,,,,28805.0,,,,,,
1997-06-30,,,,,,,29147.0,,,,,,
1997-07-31,,,,,,,29860.0,,,,,,
1997-08-31,,,,,,,29767.0,,,,,,
1997-09-30,,,,,,,29468.0,,,,,,
1997-10-31,,,,,,,29487.0,,,,,,
1997-11-30,,,,,,,29958.0,,,,,,
1997-12-31,,,,,,,31749.0,,,,,,
1998-01-31,,,,,,,29653.0,,,,,,
1998-02-28,,,,,,,29753.0,,,,,,
1998-03-31,,,,,,,29635.0,,,,,,
1998-04-30,,,,,800652.0,,30139.0,,,,,,
1998-05-31,,,,,771888.0,,30653.0,,,,,,
1998-06-30,,,,,753964.0,,30820.0,,,,,,
1998-07-31,,,,,724375.0,,31426.0,,,,,,
1998-08-31,,,,,763742.0,,31325.0,,,,,,
1998-09-30,,,,,783667.0,,32105.0,,,,,,
1998-10-31,,,,,775368.0,,31985.0,,,,,,
1998-11-30,,,,,883012.0,,31624.0,,,,,,
1998-12-31,,,,,912382.0,,34515.0,,,,,,
1999-01-31,,,,694638.0,797188.0,,31258.0,,5.0,6.0,0.25,4.75,3.0
1999-02-28,,,,692641.0,755897.0,,33012.0,,5.0,5.5,0.25,4.75,3.0
1999-03-31,,,,699396.0,797450.0,,32799.0,,4.75,5.5,,4.75,3.0
1999-04-30,,,,698296.0,791152.0,,32461.0,,4.75,5.25,,4.75,2.5
1999-05-31,,,,705060.0,744742.0,,33033.0,,4.5,5.25,,4.75,2.5
1999-06-30,,,,695644.0,734211.0,,34710.0,,4.5,5.0,,5.0,2.5
1999-07-31,,,,739725.0,686329.0,,33803.0,,4.5,5.0,,5.0,2.5
1999-08-31,,,,733966.0,680224.0,,33746.0,,4.5,5.0,,5.25,2.5
1999-09-30,,,,728600.0,688207.0,,34124.0,,4.5,5.25,,5.25,2.5
1999-10-31,,,,742624.0,680064.0,,34615.0,,4.5,5.25,,5.25,2.5
1999-11-30,,,,743495.0,841508.0,,35044.0,,4.75,5.5,,5.5,3.0
1999-12-31,,,,803192.0,1113478.0,,42715.0,,4.75,5.5,,5.5,3.0
2000-01-31,,,,772748.85,905251.0,,34537.0,,4.75,5.75,,5.5,3.0
2000-02-29,,,,752207.4057,941085.0,,35170.0,,5.0,6.0,,5.75,3.25
2000-03-31,,,,774420.8192,1062017.0,,34234.0,,5.25,6.0,,6.0,3.5
2000-04-30,,,,782962.0,797289.0,,34864.0,,5.25,6.0,,6.0,3.75
2000-05-31,,,,779222.0,838507.0,,35544.0,,5.75,6.0,,6.5,3.75
2000-06-30,,,,812468.0,837194.0,,35983.0,,5.75,6.0,,6.5,4.25
2000-07-31,,,,800725.2058,807840.0,,34926.0,,5.75,6.0,,6.5,4.25
2000-08-31,,,,796968.4467,885391.0,,35695.0,,5.75,6.0,0.25,6.5,4.25
2000-09-30,,,,826309.5705,853390.0,,35012.0,,5.75,6.0,0.25,6.5,4.5
2000-10-31,,,,822086.3493,920988.0,,35168.0,,5.75,6.0,0.25,6.5,4.75
2000-11-30,,,,833102.9503,1054097.0,,35654.0,,5.75,6.0,0.25,6.5,4.75
2000-12-31,,,,835065.0,1067962.0,,38485.0,,5.75,6.0,0.25,6.5,4.75
2001-01-31,,,,853462.0,1078487.0,,35225.0,,5.5,6.0,0.25,5.5,4.75
2001-02-28,,,,871589.0,1102160.0,,36475.0,,5.5,5.75,0.15,5.5,4.75
2001-03-31,,,,847959.0,1150959.0,,36146.0,,5.0,5.75,0.15,5.0,4.75
2001-04-30,,,,839272.0,1123259.0,,37155.0,,4.75,5.5,,4.5,4.75
2001-05-31,,,,825427.0,1138146.0,,41623.0,,4.5,5.25,,4.0,4.5
2001-06-30,,,,862767.0,1169329.0,,38245.0,,4.5,5.25,,3.75,4.5
2001-07-31,,,,862061.0,1163779.0,,38227.0,,4.25,5.25,,3.75,4.5
2001-08-31,,,,833389.0,1133882.0,,40142.0,,4.0,5.0,,3.5,4.25
2001-09-30,,,,817364.0,1156156.0,,38655.0,,3.5,4.75,,3.0,3.75
2001-10-31,,,,809996.0,1107271.0,,39315.0,,2.75,4.5,,2.5,3.75
2001-11-30,,,,810690.0,1133942.0,,40213.0,,2.25,4.0,,2.0,3.25
2001-12-31,,,,814662.0,1175079.0,,41855.0,,2.25,4.0,,1.75,3.25
2002-01-31,,,,839687.0,1224388.0,,39778.0,,2.0,4.0,,1.75,3.25
2002-02-28,,,,777402.0,1313520.0,,40135.0,,2.0,4.0,,1.75,3.25
2002-03-31,,,,814901.0,1385648.0,,39472.0,,2.0,4.0,,1.75,3.25
2002-04-30,,,,788835.0,1328094.0,,39793.0,,2.25,4.0,,1.75,3.25
2002-05-31,,,,793333.0,1279453.0,,40892.0,,2.25,4.0,,1.75,3.25
2002-06-30,,,,780845.0,1241193.0,,41146.0,,2.5,4.0,,1.75,3.25
2002-07-31,,,,783540.0,1265421.0,,42579.0,,2.75,4.0,,1.75,3.25
2002-08-31,,,,770838.0,1284793.0,,42990.0,,2.75,4.0,,1.75,3.25
2002-09-30,,,,772822.0,1244691.0,,42305.0,,2.75,4.0,,1.75,3.25
2002-10-31,,,,798028.0,1246432.0,,42255.0,,2.75,4.0,,1.75,3.25
2002-11-30,,,,796464.0,1250866.0,,43281.0,,2.75,4.0,,1.25,3.25
2002-12-31,732.059,4.678,,832558.0,1251263.0,,43784.0,727.381,2.75,4.0,,1.25,2.75
2003-01-31,712.809,7.162,,786730.0,1245386.0,,41196.0,705.6469999999999,2.75,4.0,,1.25,2.75
2003-02-28,721.98,5.249,2.5,790649.0,1325273.0,,41405.0,714.231,2.75,3.75,,1.25,2.75
2003-03-31,725.019,5.916,1.25,798674.0,1411674.0,,41255.0,717.853,3.0,3.75,,1.25,2.5
2003-04-30,746.294,8.763,2.25,800643.0,1283101.0,,41751.0,735.281,3.25,3.75,,1.25,2.5
2003-05-31,744.896,5.543,,801435.0,1306815.0,,42339.0,739.353,3.25,3.75,,1.25,2.5
2003-06-30,744.018,7.199,3.5,813568.0,1252605.0,,42002.0,733.3190000000001,3.25,3.75,,1.0,2.0
2003-07-31,740.295,6.205,,828475.0,1263771.0,,42537.0,734.0899999999999,3.0,3.5,,1.0,2.0
2003-08-31,740.637,5.974,,814810.0,1283228.0,,43225.0,734.6629999999999,3.0,3.5,,1.0,2.0
2003-09-30,741.193,7.54,,829239.0,1339295.0,,42105.0,733.653,2.75,3.5,,1.0,2.0
2003-10-31,747.272,5.125,,818606.0,1322521.0,,42910.0,742.147,2.75,3.5,,1.0,2.0
2003-11-30,756.964,5.223,2.75,833339.0,1347558.0,,43052.0,748.9910000000001,2.75,3.75,,1.0,2.0
2003-12-31,771.551,5.85,1.75,835157.0,1313685.0,,44118.0,763.951,2.75,3.75,,1.0,2.0
2004-01-31,755.279,5.153,2.25,824392.0,1354300.0,,41576.0,747.876,2.5,3.75,,1.0,2.0
2004-02-29,750.666,5.147,,824024.0,1405509.0,,41801.0,745.519,2.5,4.0,,1.0,2.0
2004-03-31,760.725,5.246,,830349.0,1493819.0,,42369.0,755.479,2.25,4.0,,1.0,2.0
2004-04-30,772.927,7.444,,853538.0,1382514.0,,42424.0,765.4830000000001,2.0,4.0,,1.0,2.0
2004-05-31,771.108,5.212,,867250.0,1390667.0,,43197.0,765.896,2.0,4.25,,1.0,2.0
2004-06-30,779.578,5.961,,895838.0,1347362.0,,44845.0,773.617,2.0,4.5,,1.25,2.0
2004-07-31,773.916,4.956,,883749.0,1314783.0,,43990.0,768.96,2.0,4.5,,1.25,2.0
2004-08-31,775.437,4.789,,881876.0,1382251.0,,44531.0,770.648,2.0,4.75,,1.5,2.0
2004-09-30,786.33,5.118,,885811.0,1394564.0,,43819.0,781.212,2.25,4.75,,1.75,2.0
2004-10-31,791.336,4.948,,893778.0,1384015.0,,44496.0,786.388,2.5,4.75,,1.75,2.0
2004-11-30,809.956,4.419,,899065.0,1478802.0,,45375.0,805.537,2.5,4.75,,2.0,2.0
2004-12-31,810.944,4.631,,884233.0,1445467.0,,46395.0,806.313,2.5,4.75,,2.25,2.0
2005-01-31,807.262,5.252,,894782.0,1473561.0,,43687.0,802.01,2.5,4.75,,2.25,2.0
2005-02-28,804.576,5.25,,913849.0,1514085.0,,43709.0,799.326,2.5,4.75,,2.5,2.0
