year,usa_capb,jpn_capb,deu_capb,fra_capb,ita_capb,gbr_capb,can_capb,usa_balance,jpn_balance,deu_balance,fra_balance,ita_balance,gbr_balance,can_balance
1980,,,,,,,,,-4.3,,0.8,,-2.8,-4.0
1981,,,,,,,,,-3.8,,-1.2,,-3.8,-2.9
1982,,,,,,,,,-3.7,,-1.7,,-2.3,-6.9
1983,,,,,,,,,-3.9,,-2.6,,-2.9,-8.0
1984,,,,,,,,,-2.6,,-2.8,,-3.2,-7.9
1985,,,,,,,,,-1.3,,-3.0,,-2.5,-8.8
1986,,,,,,,,,-1.3,,-3.2,,-2.3,-7.3
1987,,,,,,,,,-0.4,,-2.0,,-1.7,-5.7
1988,,,,,,,,,0.5,,-2.6,-10.6,0.2,-4.5
1989,,,,,,,,,1.2,,-1.8,-10.9,0.5,-4.7
1990,,,,-0.92667494134356,-2.4200046137634,-1.5977527977739,-1.3825353788705,,1.9,,-2.5,-11.1,-1.5,-5.9
1991,,,-2.7793358507284,-0.88970633121268,-0.89702032814302,-1.3363598424632,-2.4926346748404,,1.6,-3.2,-2.9,-11.1,-2.8,-8.4
1992,,,-1.3853108442015,-2.3130079281519,1.2188316825531,-2.6355503389018,-2.9568270415019,,0.6,-2.6,-4.6,-10.1,-5.4,-9.2
1993,,,-0.095445208082866,-3.028508051699,2.9700206122838,-3.6480056667543,-2.9368884131475,,-2.3,-3.1,-6.4,-9.8,-6.6,-8.9
1994,,-2.2630589676965,0.47206143209562,-2.0961076821652,2.3913323664376,-3.0496289611348,-1.9953119464067,,-3.7,-2.5,-5.5,-8.8,-5.7,-6.9
1995,,-2.7085448168337,-5.9803496508721,-1.4661715344741,4.3775165433904,-1.8889353529921,0.002647938475243,,-4.2,-9.4,-5.1,-7.2,-5.0,-5.5
1996,,-3.4680759833252,0.040677534857029,0.34557356612823,5.1101079896036,-0.24033771291374,2.6845363928721,,-4.8,-3.6,-3.9,-6.6,-3.6,-3.1
1997,,-2.3300189838588,0.46326664599104,0.42087909547241,6.9741646750047,0.81820195333168,4.966335827832,,-3.4,-3.0,-3.7,-3.0,-2.0,0.0
1998,,-3.8271300883776,0.63010430883133,1.0380212891804,5.8201664521105,2.0967233391446,4.9795129578183,,-9.9,-2.6,-2.4,-3.0,-0.2,0.1
1999,,-4.9697494722296,0.94451778340053,1.2190000741438,5.7320364070586,2.8082628140889,5.432609023947,,-6.7,-1.9,-1.5,-1.8,0.8,1.7
2000,,-5.9540219930499,0.3880278975928,0.43821190238787,3.9476895740968,2.656227810365,4.7875994389544,,-7.2,-1.7,-1.3,-2.4,1.4,2.6
2001,0.76508945685432,-4.4924304837907,-1.3653139015014,0.49032554710686,2.8897733865757,1.2403735807149,3.1285490214607,-0.5,-6.1,-3.1,-1.4,-3.2,0.3,0.5
2002,-1.6264621923869,-5.3695612248811,-1.6577405547781,-0.78501459825379,3.0198102875143,-0.69222721130074,2.0708740485217,-3.8,-7.2,-4.1,-3.2,-2.9,-1.9,-0.2
2003,-2.6537464803644,-5.8552888485446,-0.51598470120057,-1.2439931914849,2.5987474721526,-2.1686740439222,1.8625201060856,-4.8,-7.3,-3.8,-4.1,-3.2,-3.2,-0.1
2004,-2.5888016691785,-5.3049703393055,-0.24408187952773,-1.0645431757233,1.8678718771173,-2.2826736677873,2.2802576312745,-4.2,-5.3,-3.4,-3.6,-3.5,-3.1,0.8
2005,-1.5262366966598,-4.2274629248851,-0.02306259767808,-1.0828875871071,1.0611317769358,-2.5871990659631,2.2062002594396,-3.1,-4.4,-3.4,-3.5,-4.1,-3.1,1.6
2006,-0.95347257847183,-3.235869896536,0.40157974991279,-0.87139024528188,0.896743737231,-2.6101764207413,1.8302875826621,-2.0,-3.0,-1.8,-2.7,-3.6,-2.7,1.8
2007,-1.9384473323758,-3.0648505660857,1.3652599259445,-1.6855285158913,2.9424325816861,-3.3822322843139,1.6609221810231,-2.9,-2.9,0.2,-3.0,-1.3,-2.6,1.8
2008,-4.8969096488135,-3.5241321698238,0.82054309559119,-1.5180492557823,2.2602220704837,-5.6409531529781,-0.028497116221718,-6.6,-4.1,-0.3,-3.5,-2.6,-5.0,0.2
2009,-8.7187560201891,-5.9347780856254,1.0813709647638,-3.7254522183791,1.5543387278185,-7.2556840460345,-1.4333906864635,-13.2,-9.6,-3.2,-7.4,-5.1,-10.0,-3.9
2010,-8.3538576839835,-7.2473262197075,-1.7760032561592,-3.8369309840641,1.4652055592703,-5.028816977459,-3.1734459025461,-11.0,-9.1,-4.4,-7.2,-4.2,-9.2,-4.7
2011,-6.4212348646907,-7.1438921825288,0.46912856632918,-2.3733057060308,1.9166655610498,-2.9885273845583,-2.5580018970201,-9.7,-9.0,-0.8,-5.3,-3.5,-7.4,-3.3
2012,-4.4329466227839,-6.7490324895347,1.6439194471522,-1.7981990473611,4.0835826887912,-3.8155307009438,-1.6597777567407,-8.1,-8.2,-0.1,-5.2,-3.0,-8.0,-2.5
2013,-2.4600519948345,-6.3944282008058,1.9756185067888,-1.5165715251351,4.3939962641896,-2.0989478804648,-1.0097068179689,-4.6,-7.6,0.1,-4.9,-2.9,-5.3,-1.5
2014,-1.6349866313457,-4.8617302079161,2.1321023378484,-1.1159404415933,4.066589628373,-2.4211481863516,0.063352127448763,-4.0,-5.6,0.7,-4.6,-2.8,-5.5,0.2
2015,-1.3344746069825,-3.4158469846756,2.1672538100933,-0.50671453384619,3.6192221454918,-2.1359188112427,0.64611165989828,-3.5,-3.6,0.9,-3.9,-2.5,-4.5,-0.1
2016,-1.9145681466149,-3.3620554733809,2.0159527823831,-0.34169964786909,2.9774624231792,-1.0447165705355,0.51166282932858,-4.4,-3.6,1.1,-3.8,-2.4,-3.3,-0.5
2017,-2.3616734851673,-2.6730471154093,1.62026952937,-0.68513337348008,2.1767480113228,-0.98450105513083,-0.060824116150966,-4.8,-3.0,1.3,-3.4,-2.5,-2.5,-0.1
2018,-2.6940965082166,-2.2105756438105,2.1440863901417,-0.39055321372128,2.1714302366749,-1.5560162245796,0.23784910934258,-5.3,-2.4,1.9,-2.3,-2.2,-2.2,0.4
2019,-3.4812764497741,-2.6570188273109,1.6623083859807,-0.91821132000689,2.6385978479513,-2.0393408148632,-0.041207476736461,-5.8,-3.0,1.3,-2.4,-1.5,-2.4,0.0
2020,-8.4843568529294,-7.5175779265086,-2.5097754515414,-4.745132235101,-0.31602935345008,-9.9678787505731,-8.7767816277449,-14.1,-9.0,-4.4,-8.9,-9.4,-12.9,-10.9
2021,-7.6911680042536,-5.2084201327446,-2.3014537824085,-3.9051762010891,-3.4748133611895,-4.9349060816651,-3.0456461262744,-11.5,-6.3,-3.2,-6.6,-8.9,-7.5,-3.1
2022,-1.2120277042439,-3.9180170642819,-2.0375293445545,-2.3773203271617,-4.1677412376919,-2.2310821433675,-0.10484746512435,-3.7,-4.2,-1.9,-4.7,-8.1,-4.6,0.6
2023,-4.6595688381076,-2.1669396844514,-1.7965684278044,-3.4390048404201,-3.9312112487455,-3.9330856020207,-0.022891469927129,-7.9,-2.4,-2.5,-5.4,-7.1,-6.0,-0.2
2024,-3.8386823238028,-1.5361192466295,-1.3118872452397,-3.8614789948375,0.15033382459655,-3.6353654391642,-1.8179942236248,-7.9,-1.7,-2.7,-5.8,-3.4,-6.1,-2.1
2025,-3.683113297053,-1.0081473292362,-1.1926045910736,-3.0421119744754,0.49183791510813,-2.3358494910232,-1.6873770253682,-6.8,-1.1,-2.7,-5.1,-3.1,-5.4,-1.8
2026,-3.54464702742,-1.8871456889993,-2.3675124460679,-2.5917923700307,0.87198893683268,-0.64607856794087,-2.0800989373946,-7.5,-2.0,-3.8,-4.9,-2.8,-3.9,-2.7
2027,-3.4333141327643,-1.7662204022209,-2.9225409352405,-2.1396303745248,1.4277212344764,0.22602397563387,-1.7450410171985,-7.4,-2.4,-4.2,-4.8,-2.6,-3.1,-2.5
2028,-3.5722181951803,-1.938525943874,-2.8703684694944,-1.4721945934944,1.7404598480409,0.71612434956019,-1.4209425902248,-7.6,-2.9,-4.1,-4.3,-2.4,-2.6,-2.2
2029,-3.2908592718447,-2.0332089259752,-2.6896500244938,-0.89336868636434,1.7015800672255,1.3273069953037,-1.1975837758131,-7.5,-3.3,-3.9,-3.8,-2.5,-2.0,-2.0
2030,-3.1892140182762,-2.2053142084263,-2.4369356282725,-0.23344126529352,1.6874692681508,1.4845764622013,-0.96898551248733,-7.5,-3.7,-3.8,-3.4,-2.5,-1.7,-1.7
2031,-3.0044088422041,-2.3072577752149,-2.1666130939246,0.46419457922288,1.5953315826561,1.4356349383054,-0.84444829150597,-7.4,-4.0,-3.7,-2.9,-2.7,-1.6,-1.5
