date,country,cb_score,fiscal_score,composite,cb_regime,fiscal_regime,regime
2004-12-31,USA,-1.1811298182599645,,,,,
2005-01-31,USA,-1.158180321150347,,,,,
2005-02-28,USA,-1.278723241310874,,,,,
2005-03-31,USA,-1.3927699404966014,,,,,
2005-04-30,USA,-1.3612175195732752,,,,,
2005-05-31,USA,-1.4695958046832633,,,,,
2005-06-30,USA,-1.4349429309132335,,,Tightening,,
2005-07-31,USA,-1.4026410131872853,,,Tightening,,
2005-08-31,USA,-1.3724355076102528,,,Tightening,,
2005-09-30,USA,-1.344108856862528,,,Trough,,
2005-10-31,USA,-1.317473855865399,,,Trough,,
2005-11-30,USA,-1.2923684161329572,,,Trough,,
2005-12-31,USA,-1.2686513931804475,,,Trough,,
2006-01-31,USA,-1.3782852811042685,-0.662902216947153,-1.1398242597185635,Trough,,
2006-02-28,USA,-1.2200987848161604,-0.662902216947153,-1.0343665955264911,Trough,,
2006-03-31,USA,-1.2000356688705902,-0.662902216947153,-1.0209911848961113,Trough,,
2006-04-30,USA,-1.1809347974040707,-0.662902216947153,-1.0082572705850983,Trough,,
2006-05-31,USA,-1.1627215457553408,-0.662902216947153,-0.9961151028192782,Trough,,
2006-06-30,USA,-1.145329150067366,-0.662902216947153,-0.9845201723606283,Trough,,
2006-07-31,USA,-1.1286976737384915,-0.662902216947153,-0.973432521474712,Trough,Trough,Trough
2006-08-31,USA,-0.9815313608112077,-0.662902216947153,-0.8753216461898562,Trough,Trough,Trough
2006-09-30,USA,-0.8376916335220439,-0.662902216947153,-0.779428494663747,Trough,Trough,Trough
2006-10-31,USA,-0.8290476000525211,-0.662902216947153,-0.7736658056840651,Trough,Trough,Trough
2006-11-30,USA,-0.6874714850122247,-0.662902216947153,-0.6792817289905342,Trough,Trough,Trough
2006-12-31,USA,-0.5473580436086418,-0.662902216947153,-0.5858727680548123,Trough,Trough,Trough
2007-01-31,USA,-0.40811912171602527,0.42278208275305446,-0.13115205355966533,Trough,Loosening,Trough
2007-02-28,USA,-0.40537044875260725,0.42278208275305446,-0.12931960491738662,Trough,Loosening,Trough
2007-03-31,USA,-0.26594159382753885,0.42278208275305446,-0.03636703496734103,Trough,Loosening,Trough
2007-04-30,USA,-0.26433627837795376,0.42278208275305446,-0.03529682466761766,Trough,Loosening,Trough
2007-05-31,USA,-0.1243378006713374,0.42278208275305446,0.05803549380345992,Trough,Loosening,Loosening
2007-06-30,USA,0.015652245457210348,0.42278208275305446,0.15136219122249175,Loosening,Loosening,Loosening
2007-07-31,USA,0.015566946297202485,0.42278208275305446,0.15130532511581984,Loosening,Loosening,Loosening
2007-08-31,USA,0.015483026434891307,0.42278208275305446,0.15124937854094572,Loosening,Loosening,Loosening
2007-09-30,USA,0.29862269376797157,0.42278208275305446,0.34000915676299925,Loosening,Loosening,Loosening
2007-10-31,USA,0.43898568436529106,0.42278208275305446,0.43358448382787884,Loosening,Loosening,Loosening
2007-11-30,USA,0.43624683862191604,0.42278208275305446,0.43175858666562883,Loosening,Loosening,Loosening
2007-12-31,USA,0.5766265491141521,0.42278208275305446,0.5253450603271196,Loosening,Loosening,Loosening
2008-01-31,USA,1.283261487244923,1.4395316699166947,1.3353515481355136,Loosening,Loosening,Loosening
2008-02-29,USA,1.2660624802687588,1.4395316699166947,1.3238855434847374,Loosening,Loosening,Loosening
2008-03-31,USA,1.6650513472552004,1.4395316699166947,1.5898781214756985,Loosening,Loosening,Loosening
2008-04-30,USA,1.7697061633487425,1.4395316699166947,1.6596479988713932,Loosening,Loosening,Loosening
2008-05-31,USA,1.734063942802869,1.4395316699166947,1.6358865185074776,Loosening,Loosening,Loosening
2008-06-30,USA,1.700496842066645,1.4395316699166947,1.613508451349995,Loosening,Loosening,Loosening
2008-07-31,USA,1.6688109697167872,1.4395316699166947,1.5923845364500897,Loosening,Loosening,Loosening
2008-08-31,USA,1.6388368835215157,1.4395316699166947,1.5724018123199088,Loosening,Loosening,Loosening
2008-09-30,USA,1.3486898582767963,1.4395316699166947,1.3789704621567624,Peak,Loosening,Peak
2008-10-31,USA,1.7211912768174813,1.4395316699166947,1.627304741183886,Peak,Loosening,Peak
2008-11-30,USA,3.700091304061867,1.4395316699166947,2.946571426013476,Loosening,Loosening,Loosening
2008-12-31,USA,3.342797715431893,1.4395316699166947,2.7083757002601603,Loosening,Loosening,Loosening
2009-01-31,USA,2.2964921548929,1.5105545226366106,2.0345129441408036,Loosening,Loosening,Loosening
2009-02-28,USA,2.1831131938990023,1.5105545226366106,1.9589269701448715,Loosening,Loosening,Loosening
2009-03-31,USA,2.0438028030221167,1.5105545226366106,1.8660533762269478,Loosening,Loosening,Loosening
2009-04-30,USA,1.8490248470343205,1.5105545226366106,1.736201405568417,Loosening,Loosening,Loosening
2009-05-31,USA,1.7782160984701703,1.5105545226366106,1.688995573192317,Peak,Loosening,Peak
2009-06-30,USA,1.540375584394102,1.5105545226366106,1.530435230474938,Peak,Loosening,Peak
2009-07-31,USA,1.4568288716371027,1.5105545226366106,1.474737421970272,Peak,Loosening,Peak
2009-08-31,USA,1.5601374883419963,1.5105545226366106,1.5436098331068675,Peak,Loosening,Peak
2009-09-30,USA,0.9879972360218614,1.5105545226366106,1.1621829982267777,Peak,Loosening,Peak
2009-10-31,USA,-0.0035503624968931252,1.5105545226366106,0.5011512658809415,Tightening,Loosening,Peak
2009-11-30,USA,-0.08134861361854862,1.5105545226366106,0.44928576513317114,Tightening,Loosening,Peak
2009-12-31,USA,-0.39730516238871016,1.5105545226366106,0.23864806595306348,Tightening,Loosening,Peak
2010-01-31,USA,-0.2560547978549387,-0.804776718101055,-0.43896210460364415,Tightening,Tightening,Tightening
2010-02-28,USA,-0.17590460161145074,-0.804776718101055,-0.38552864044131885,Tightening,Tightening,Tightening
2010-03-31,USA,-0.24838934255114106,-0.804776718101055,-0.43385180106777904,Tightening,Tightening,Tightening
2010-04-30,USA,-0.24183324140292284,-0.804776718101055,-0.42948106696896693,Tightening,Tightening,Tightening
2010-05-31,USA,-0.2735552864733464,-0.804776718101055,-0.45062909701591597,Tightening,Tightening,Tightening
2010-06-30,USA,-0.18376078331964354,-0.804776718101055,-0.3907660949134474,Trough,Tightening,Tightening
2010-07-31,USA,-0.21633275771347313,-0.804776718101055,-0.41248074450933375,Trough,Trough,Trough
2010-08-31,USA,-0.2971175165330931,-0.804776718101055,-0.4663372503890804,Tightening,Trough,Tightening
